population,individual,sex,species,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,notes
SR2014,121,,B,4844,1572.003,330.123,354.051,151.433,169.387,64.622,237.739,420.011,3.74,0.79,0.84,0.3605453191,0.403,0.1538578752,0.5660304135,
SR2014,122,,B,4846,1533.355,321.126,330.123,213.654,216.749,86.533,253.14,420.011,3.65,0.76,0.79,0.5086866773,0.516,0.2060255565,0.6026985008,
SR2014,123,,B,4848,1632.069,366.307,393.103,174.413,212.132,61.774,237.739,423.011,3.86,0.87,0.93,0.412313155,0.501,0.1460340275,0.5620161178,
SR2014,124,,B,4849,2791.034,672.542,720.1,201.246,170.763,42,203.027,423.011,6.6,1.59,1.7,0.4757464936,0.404,0.0992881982,0.479956786,not three spine
SR2014,125,,B,4850,2529.642,591.274,618.029,161.443,150,51.614,168.107,423,5.98,1.4,1.46,0.3816619385,0.355,0.1220189125,0.3974160757,
SR2014,51,,B,4851,1602.101,351,357.013,180.499,213.654,72.498,301.317,423,3.79,0.83,0.84,0.4267115839,0.505,0.1713900709,0.7123333333,
SR2014,52,,B,4853,1770,417.27,420.011,170.552,232.998,38.419,220.127,426.042,4.15,0.98,0.99,0.4003173396,0.547,0.0901765554,0.5166791068,
SR2014,53,,B,4855,2067.146,450,471.01,175.237,231.603,78,276.586,423,4.89,1.06,1.11,0.4142718676,0.548,0.1843971631,0.6538676123,
SR2014,54,,B,4856,1557.185,333.122,363.012,193.215,204.793,0,190.589,420.043,3.71,0.79,0.86,0.4599886202,0.488,0,0.4537368793,
SR2014,55,,B,4858,1949.67,405.044,423,157.493,174.413,0,149.037,426.011,4.58,0.95,0.99,0.3696923319,0.409,0,0.3498430792,
SR2014,56,,B,4860,1692.096,363.112,357.05,174.103,171.604,91.389,178.393,426.011,3.97,0.85,0.84,0.4086819354,0.403,0.2145226297,0.418752098,
SR2014,57,,B,4863,1679.255,381.106,366.012,180.4,187.446,67.082,234,423,3.97,0.9,0.87,0.4264775414,0.443,0.1585862884,0.5531914894,
SR2014,58,,B,4865,1864.053,432.01,459.01,193.494,161.555,36.497,224.018,426.011,4.38,1.01,1.08,0.4541995394,0.379,0.0856714968,0.5258502715,
SR2014,59,,B,4866,1692.066,387.418,375.3,199.449,212.132,55.317,253.14,429.042,3.94,0.9,0.87,0.4648705721,0.494,0.1289314333,0.5900121666,
SR2014,60,,B,4867,1554.417,372.592,390.933,152.735,182.483,53.666,189.737,423.011,3.67,0.88,0.92,0.3610662607,0.431,0.1268666772,0.4485391633,
SR2014,61,,B,4868,1986.655,456.089,468.087,162.997,182.187,42.426,294.184,426.042,4.66,1.07,1.1,0.3825843461,0.428,0.0995817314,0.690504692,
SR2014,62,,B,4870,1704.066,366.111,366,168.962,183.172,51.264,210.086,423.011,4.03,0.87,0.87,0.3994269653,0.433,0.1211883379,0.4966442953,
SR2014,63,,B,4873,1593.025,351.013,342.013,186.097,195.898,48.374,312.519,426.011,3.74,0.82,0.8,0.436836138,0.46,0.1135510585,0.7335937335,
SR2014,64,,B,4875,1635.135,360.45,363.607,206.63,223.294,30,246.293,423.043,3.87,0.85,0.86,0.4884373456,0.528,0.070914777,0.5821937723,
SR2014,65,,B,4877,1599.633,348,369.012,200.26,221.35,80.498,266.443,426,3.76,0.82,0.87,0.4700938967,0.52,0.1889624413,0.6254530516,
SR2014,66,,B,4878,1629.025,336.054,351.051,208.279,203.027,53.666,152.971,429.01,3.8,0.78,0.82,0.4854875178,0.473,0.1250926552,0.356567446,
SR2014,67,,B,4880,1653.174,375.012,372,151.789,183.172,75.18,324.888,426.042,3.88,0.88,0.87,0.3562770807,0.43,0.1764614756,0.7625727041,
SR2014,68,,B,4883,1644.394,396.045,402.101,168.962,187.446,68.411,136.953,426,3.86,0.93,0.94,0.3966244131,0.44,0.1605892019,0.3214859155,
