population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
AL2014,42,,B,,,,,,,,,,,,,,,,,,4.9521525822,1.1700539906,
AL2014,43,,B,,,,,,,,,,,,,,,,,,5.287094189,1.2340908392,
AL2014,44,,B,,,,,,,,,,,,,,,,,,4.9002583662,1.1417491839,
AL2014,45,,B,,,,,,,,,,,,,,,,,,4.195368442,0.9937944876,
BK,1,,C,,,,,,,,,,,,,,,,,,5.5327738588,1.2319033753,
BK,2,,C,,,,,,,,,,,,,,,,,,4.7690656999,1.0562856689,
BK,3,,C,,,,,,,,,,,,,,,,,,5.8321702045,1.3620952643,
BK,4,,C,,,,,,,,,,,,,,,,,,5.4936167485,1.3077652851,
BK,5,,C,,,,,,,,,,,,,,,,,,5.0249242989,1.1500406388,
BK,6,,C,,,,,,,,,,,,,,,,,,4.977374649,1.1759541544,
BK,7,,C,,,,,,,,,,,,,,,,,,5.9745896098,1.3520337751,
BK,8,,C,,,,,,,,,,,,,,,,,,5.0113737465,1.1385053625,
BK,9,,C,,,,,,,,,,,,,,,,,,6.6905603774,1.4574838784,
BK,10,,C,,,,,,,,,,,,,,,,,,4.9274957797,1.0773546733,
BK,11,,C,,,,,,,,,,,,,,,,,,5.2491321536,1.1986970768,
BK,12,,C,,,,,,,,,,,,,,,,,,5.7417411721,1.313530431,
BK,13,,C,,,,,,,,,,,,,,,,,,5.1639116904,1.2253936352,
BK,14,,C,,,,,,,,,,,,,,,,,,5.0938974359,1.1492794872,
BK,15,,C,,,,,,,,,,,,,,,,,,5.3028525275,1.2256689017,
BK,16,,C,,,,,,,,,,,,,,,,,,5.1115242112,1.1941411008,
BK,17,,C,,,,,,,,,,,,,,,,,,5.2972894966,1.2669374249,
BK,18,,C,,,,,,,,,,,,,,,,,,5.1916693376,1.2164510711,
BK,19,,C,,,,,,,,,,,,,,,,,,5.1541209032,1.1392257619,
BK,20,,C,,,,,,,,,,,,,,,,,,5.3611984996,1.2055966217,
BK,21,,C,,,,,,,,,,,,,,,,,,5.8834530172,1.3372329435,
BK,22,,C,,,,,,,,,,,,,,,,,,5.4352768648,1.2071217241,
BK,23,,C,,,,,,,,,,,,,,,,,,5.2004892044,1.210201502,
BK,24,,C,,,,,,,,,,,,,,,,,,5.1379641026,1.1488205128,
BK,25,,C,,,,,,,,,,,,,,,,,,4.9641169052,1.1227545831,
BK,26,,C,,,,,,,,,,,,,,,,,,5.4363893226,1.2641370593,
BK,27,,C,,,,,,,,,,,,,,,,,,5.3340845749,1.2211368106,
BK,28,,C,,,,,,,,,,,,,,,,,,4.9325728615,1.0820417362,
BK,29,,C,,,,,,,,,,,,,,,,,,5.3573724521,1.189363491,
BK,30,,C,,,,,,,,,,,,,,,,,,4.5862383684,1.0095729764,
BK,31,,C,,,,,,,,,,,,,,,,,,5.0658376175,1.1244778913,
BK,32,,C,,,,,,,,,,,,,,,,,,4.6088530741,1.1082242827,
BK,33,,C,,,,,,,,,,,,,,,,,,4.751727355,1.0839490646,
BK,34,,C,,,,,,,,,,,,,,,,,,5.5277998995,1.2933982809,
BK,35,,C,,,,,,,,,,,,,,,,,,4.7715335264,1.1326845321,
BK,36,,C,,,,,,,,,,,,,,,,,,4.2983080115,0.7837656731,
BK,37,,C,,,,,,,,,,,,,,,,,,4.6614142947,1.0709813714,
BK,38,,C,,,,,,,,,,,,,,,,,,6.1626705568,1.4401532127,
BK,39,,C,,,,,,,,,,,,,,,,,,5.1607242268,1.189193299,
BK,40,,C,,,,,,,,,,,,,,,,,,5.643457236,1.2756107141,
BK,41,,C,,,,,,,,,,,,,,,,,,4.772179956,1.0762791127,
BK,42,,C,,,,,,,,,,,,,,,,,,4.8285521147,1.1739528595,
BK,43,,C,,,,,,,,,,,,,,,,,,4.404906088,0.9912318034,
BK,44,,C,,,,,,,,,,,,,,,,,,5.3904718451,1.1180048599,
BK,45,,C,,,,,,,,,,,,,,,,,,4.9583972147,1.2165488173,
BK,46,,C,,,,,,,,,,,,,,,,,,5.830909805,1.3190947854,
BK,47,,C,,,,,,,,,,,,,,,,,,4.7399519796,1.0762304261,
BK,48,,C,,,,,,,,,,,,,,,,,,4.3699154529,0.9789662687,
BK,49,,C,,,,,,,,,,,,,,,,,,4.6713233824,1.1024827841,
BK,50,,C,,,,,,,,,,,,,,,,,,4.9369078866,1.1563794447,
BK,51,,C,,,,,,,,,,,,,,,,,,5.4636447084,1.215444653,
BK,52,,C,,,,,,,,,,,,,,,,,,5.2364223324,1.2586558363,
BK,53,,C,,,,,,,,,,,,,,,,,,5.1044714336,1.1249371917,
BK,54,,C,,,,,,,,,,,,,,,,,,5.02339928,1.1698281079,
BK,55,,C,,,,,,,,,,,,,,,,,,4.6575720747,1.1538362922,
BK,56,,C,,,,,,,,,,,,,,,,,,5.5054571951,1.2654517173,
BK,57,,C,,,,,,,,,,,,,,,,,,5.2894199663,1.1627804823,
BK,58,,C,,,,,,,,,,,,,,,,,,4.6279147287,1.077630491,
BK,59,,C,,,,,,,,,,,,,,,,,,5.7378445867,1.2342239361,
BK,60,,C,,,,,,,,,,,,,,,,,,5.2627940242,1.288159055,
BK,61,,C,,,,,,,,,,,,,,,,,,4.9587695176,1.1193634574,
BK,62,,C,,,,,,,,,,,,,,,,,,4.5861405373,1.0551180692,
BK,63,,C,,,,,,,,,,,,,,,,,,4.6161901042,1.016375,
BK,64,,C,,,,,,,,,,,,,,,,,,6.270502454,1.404733652,
BK,65,,C,,,,,,,,,,,,,,,,,,4.7204076923,1.0106230769,
BK,66,,C,,,,,,,,,,,,,,,,,,5.4559718939,1.3021789954,
BK,67,,C,,,,,,,,,,,,,,,,,,5.7066884728,1.3309707155,
BK,68,,C,,,,,,,,,,,,,,,,,,4.921006753,1.1427113725,
BK,69,,C,,,,,,,,,,,,,,,,,,5.1659765625,1.1875260417,
BK,70,,C,,,,,,,,,,,,,,,,,,4.5044029642,1.1416338511,
BK,71,,C,,,,,,,,,,,,,,,,,,4.919197358,1.1076838661,
BK,72,,C,,,,,,,,,,,,,,,,,,4.9936020672,1.1163049096,
BK,73,,C,,,,,,,,,,,,,,,,,,5.4998125059,1.2328781392,
BR,1,,C,,,,,,,,,,,,,,,,,,4.7985160885,1.0897548599,
BR,2,,C,,,,,,,,,,,,,,,,,,4.6922459859,1.0881248638,
BR,3,,C,,,,,,,,,,,,,,,,,,5.1695242051,1.085087726,
BR,4,,C,,,,,,,,,,,,,,,,,,4.9031000895,1.0575968986,
BR,5,,C,,,,,,,,,,,,,,,,,,4.7294222619,0.9903415457,
BR,6,,C,,,,,,,,,,,,,,,,,,5.4795561921,1.1901614175,
BR,7,,C,,,,,,,,,,,,,,,,,,6.0169561856,1.3711340206,
BR,8,,C,,,,,,,,,,,,,,,,,,5.2528896315,1.1479547455,
BR,9,,C,,,,,,,,,,,,,,,,,,5.2763179252,1.1649374306,
BR,10,,C,,,,,,,,,,,,,,,,,,5.0768418367,1.1735688776,
BR,11,,C,,,,,,,,,,,,,,,,,,5.2739631543,1.1340598197,
BR,12,,C,,,,,,,,,,,,,,,,,,6.752167493,1.4725647428,
BR,13,,C,,,,,,,,,,,,,,,,,,5.663323257,1.3486453294,
BR,14,,C,,,,,,,,,,,,,,,,,,5.7303965684,1.3230954231,
BR,15,,C,,,,,,,,,,,,,,,,,,5.2465123673,1.2358744786,
BR,16,,C,,,,,,,,,,,,,,,,,,5.7397084653,1.3333162395,
BR,17,,C,,,,,,,,,,,,,,,,,,5.785825641,1.4205948718,
BR,18,F,C,1,,,,,,,,,,,,,,,,,5.1712588635,1.2476735661,1
BR,19,M,C,1,,,,,,,,,,,,,,,,,6.0296932729,1.456657462,1
BR,20,F,C,1,,,,,,,,,,,,,,,,,5.5034172302,1.3147953507,1
BR,21,M,C,1,,,,,,,,,,,,,,,,,5.173652188,1.1743393304,1
BR,22,,C,,,,,,,,,,,,,,,,,,5.4846546392,1.1774716495,
BR,23,F,C,1,,,,,,,,,,,,,,,,,5.6331806992,1.3371946786,1
BR,24,M,C,1,,,,,,,,,,,,,,,,,5.6551176015,1.2616511899,1
BR,25,F,C,1,,,,,,,,,,,,,,,,,5.7213453021,1.3112773244,1
BR,26,,C,,,,,,,,,,,,,,,,,,5.6959336735,1.3891045918,
BR,27,,C,,,,,,,,,,,,,,,,,,4.8389005389,1.0824185684,
BR,28,F,C,1,,,,,,,,,,,,,,,,,4.9975801838,1.2113718477,1
BR,29,M,C,1,,,,,,,,,,,,,,,,,5.1325490538,1.1895037454,1
BR,30,M,C,1,,,,,,,,,,,,,,,,,5.3039990154,1.1846515957,1
BR,31,M,C,1,,,,,,,,,,,,,,,,,5.1812133193,1.1435384249,1
BR,32,M,C,1,,,,,,,,,,,,,,,,,5.0402248716,1.1274187213,1
BR,33,F,C,1,,,,,,,,,,,,,,,,,5.7213363531,1.3621997439,1
