"","population","individual","species","y.1","x.2","y.2","x.3","y.3","x.4","y.4","x.5","y.5","x.6","y.6","x.7","y.7","x.8","y.8","x.9","y.9","x.10","y.10","x.11","y.11","x.12","y.12","x.13","y.13","x.14","y.14","x.15","y.15","x.16","y.16","x.17","y.17","x.18","y.18","x.19","y.19","notes"
"1","AL-S-2014","1","C",1.41563658438925,2.65561023494917,1.81087818550522,2.8312731687785,2.20870306505987,3.05343511450382,3.32726262900247,3.02760233011715,3.96016584647576,2.86743906691983,4.86689657844771,2.43344828922385,5.91054106766898,2.33270043011586,6.26961677064362,2.25778535539453,6.48144560261428,2.09762209219721,6.30836594722362,2.07178930781054,6.08362072305964,1.89870965241989,5.0528926260317,1.86254375427855,3.76125340669844,1.88579326022655,3.3014298446158,1.96070833494788,2.49544697175185,2.02270701747588,1.72562999702923,2.50836336394518,1.86254375427855,2.63236072900118,2.27070174758786,2.59361155242118,3.26526394647447,"e.g. no head, very bent, not a threespine, etc."
"2","AL-S-2014","10","C",0.78452285115089,2.4920137624793,1.16396527589054,2.6766073745148,1.54340770063018,2.93298739123078,2.57918296816273,2.9124769898935,3.13296380426924,2.90222178922486,3.93286945642309,2.58431056849705,5.26604554334617,2.50226896314794,5.65574316875446,2.43048255846746,5.83008158012132,2.29716494977515,5.64548796808582,2.27665454843788,5.20451433933434,2.01001933105326,4.38409828584321,1.7844049163432,3.07143260025741,1.7844049163432,2.62020377083729,1.82542571901776,1.88182932269527,1.95874332771006,1.08192367054142,2.39971695646155,1.19473087789645,2.37920655512427,1.59468370397338,2.39971695646155,2.62020377083729,""
"3","AL-S-2014","11","C",1.60493890464202,2.82018018387575,2.06642293473078,3.00477379591125,2.42535495813314,3.19962260861539,3.52266142967753,3.17911220727812,4.03542146310948,3.097070601929,4.92762392128108,2.727883377858,6.04544079416274,2.70737297652072,6.322331212216,2.58431056849705,6.52743522558878,2.4920137624793,6.35309681422191,2.43048255846746,6.05569599483138,2.13308173907693,5.15323833599114,2.05104013372782,3.89184865374853,2.06129533439646,3.52266142967753,2.13308173907693,2.75352137952959,2.26639934776924,1.97412612871302,2.70737297652072,2.08693333606805,2.70737297652072,2.51765176415089,2.66635217384616,3.47138542633433,""
"4","AL-S-2014","12","C",1.43060049327515,2.80992498320711,1.86131892135799,2.99451859524261,2.2817821487722,3.27140901329587,3.32781261697338,3.34319541797634,4.02516626244084,3.25089861195859,4.86609271726924,2.64584177250888,6.0864615968373,2.43048255846746,6.46590402157694,2.21512334442604,6.61973203160653,2.22537854509468,6.34284161355327,2.30742015044379,6.05569599483138,2.22537854509468,5.06094152997339,2.14333693974557,3.84057265040534,2.11257133773965,3.39959902165386,2.14333693974557,2.68173497484912,2.19461294308876,1.86131892135799,2.68686257518344,1.91259492470119,2.73813857852664,2.37407895478995,2.75864897986391,3.43036462365977,""
"5","AL-S-2014","13","C",1.36906928926332,2.62533137117161,1.7587669146716,2.77915938120119,2.10744373740533,3.01502899657989,3.1227086036006,2.97400819390533,3.69699984104439,2.94324259189942,4.58920229921599,2.69711777585208,5.66599836942309,2.59456576916569,6.0351855934941,2.47150336114202,6.20952400486097,2.33818575244971,6.07620639616866,2.40997215713018,5.73778477410357,2.0715505350651,4.81481671392605,1.94848812704143,3.61495823569528,1.94848812704143,3.15347420560652,1.98950892971598,2.49714136281362,2.0715505350651,1.71774611199705,2.47150336114202,1.8100429180148,2.48175856181066,2.20999574409172,2.48175856181066,3.14321900493788,""
"6","AL-S-2014","14","C",1.58580113950401,3.0372999023725,2.040363029655,3.16127132695914,2.43293920751267,3.41954512818129,3.45570346035239,3.41954512818129,4.04456772713889,3.30590465564354,4.87104389104978,2.88233562163921,5.99711766437836,2.77902610115035,6.25539146560051,2.56207610812374,6.45167955452935,2.56207610812374,6.20373670535608,2.56207610812374,5.94546290413393,2.32446421099936,5.02600817178307,2.28314040280382,3.83794868616117,2.26247849870605,3.47636536445016,2.32446421099936,2.63955824849039,2.46909753968377,1.90606065301948,2.86167371754144,2.08168683785054,2.87200466959033,2.50525587185487,2.84101181344367,3.4453725083035,""
"7","AL-S-2014","15","C",1.2871398828754,2.69735290196199,1.72815195429884,2.89221870096305,2.10762745761669,3.25118201491236,3.14349302072757,3.27169420428089,3.738346512415,3.26143810959663,4.61011456057762,2.94349917438438,5.78956544926823,2.95375526906864,6.17929704727034,2.94349917438438,6.46646769842979,2.70760899664626,6.2510897100602,2.58453586043506,5.87161420674236,2.18454816774868,4.96907787452694,1.98968236874763,3.71783432304647,1.97942627406336,3.2255417782017,2.02045065280043,2.47684686625027,2.09224331559029,1.69738367024604,2.55376757638227,1.77943242772017,2.58453586043506,2.19993230977508,2.63581633385639,3.18451739946463,""
"8","AL-S-2014","16","C",1.7002056783769,2.82161793432762,2.11362955153845,2.95598069310512,2.47537544055481,3.23504180748917,3.5089351234587,3.2143706138311,4.04638615856873,3.22470621066013,4.80088472708857,2.94564509627608,5.93780037828284,2.92497390261801,6.29954626729921,2.80094674066954,6.51659380070902,2.67691957872107,6.27887507364113,2.67691957872107,5.979142765599,2.31517368970471,5.12128822878877,2.08779055946586,3.94303019027834,2.07745496263682,3.58128430126198,2.16013973726913,2.85779252322925,2.2324889150724,2.05161597056422,2.66658398189203,2.14463634202557,2.68725517555011,2.5787314088452,2.656248385063,3.46759273614255,""
"9","AL-S-2014","18","C",6.64594935540445,3.00503574248997,6.31775432550793,2.89221870096305,6.14340071587541,2.73837728069906,5.37419361455545,2.73837728069906,4.93318154313201,2.78965775412039,4.4511450929715,3.07682840527984,3.66142580228301,3.1178527840169,3.43579171922915,3.2101576361753,3.31271858301796,3.29220639364943,3.45630390859768,3.30246248833369,3.71270627570434,3.47681609796622,4.24602319928618,3.53835266607181,5.10753515276453,3.49732828733475,5.37419361455545,3.42553562454489,5.74341302318903,3.37425515112356,6.45108355640339,3.09734059464837,6.36903479892926,3.07682840527984,6.06135195840128,3.1178527840169,5.43573018266105,""
"10","AL-S-2014","19","C",6.9392011838055,2.34336924984407,6.65638075710018,2.23226122506698,6.41396324849562,2.10095174123951,5.70691218173233,2.13125392981508,5.29278227119954,2.13125392981508,4.7271414177889,2.26256341364255,3.98978816245003,2.24236195459217,3.8180757605218,2.3130670612685,3.70696773574471,2.44437654509597,3.78777357194623,2.5150816517723,4.00998962150041,2.75749916037686,4.55542901586067,2.86860718515395,5.39378956645144,2.82820426705319,5.70691218173233,2.80800280800281,6.14124355131549,2.73729770132648,6.7371865933017,2.47467873367154,6.67658221615056,2.46457800414635,6.34325814181929,2.47467873367154,5.74731509983309,""
