,population,individual,species,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19
29,AL2014,19,B,2.349881797,3.106382979,2.761229314,2.886524823,3.179669031,2.744680851,4.3356974,2.489361702,5.044917258,2.482269504,6.052009456,2.539007092,7.413711584,2.829787234,7.676122931,2.865248227,7.846335697,2.985815603,7.63356974,3.085106383,7.364066194,3.14893617,6.364066194,3.560283688,4.810874704,3.737588652,4.250591017,3.75177305,3.427895981,3.645390071,2.619385343,3.475177305,2.775413712,3.063829787,3.193853428,3.04964539,4.271867612,3.063829787
30,AL2014,2,B,2.335636662,3.233958455,2.751701492,2.978645945,3.196134379,2.808437606,4.28357655,2.534213058,5.049514079,2.449108888,6.146412268,2.449108888,7.536447043,2.694965379,7.924143817,2.666597323,8.084896137,2.77061353,7.990335949,2.94082187,7.621551213,3.044838077,6.751597476,3.508183002,5.002233984,3.914791814,4.302488588,3.886423757,3.385254757,3.706759399,2.657141304,3.583831153,2.77061353,3.158310304,3.205590398,3.148854285,4.321400626,3.224502436
31,AL2014,20,B,1.943661972,3,2.450704225,2.774647887,2.887323944,2.61971831,3.929577465,2.38028169,4.563380282,2.352112676,5.563380282,2.38028169,6.915492958,2.830985915,7.394366197,3.028169014,7.521126761,3.183098592,7.338028169,3.23943662,6.943661972,3.211267606,6.154929577,3.521126761,4.478873239,3.676056338,3.873239437,3.690140845,3.056338028,3.563380282,2.281690141,3.338028169,2.507042254,2.957746479,2.957746479,2.943661972,4.042253521,3
32,AL2014,21,B,2.53427896,3.241134752,3.059101655,2.964539007,3.505910165,2.822695035,4.498817967,2.595744681,5.144208038,2.588652482,6.066193853,2.645390071,7.278959811,3.042553191,7.541371158,3.113475177,7.669030733,3.24822695,7.477541371,3.354609929,7.321513002,3.368794326,6.392434988,3.695035461,4.988179669,3.865248227,4.43498818,3.843971631,3.676122931,3.744680851,2.917257683,3.659574468,3.044917258,3.163120567,3.513002364,3.14893617,4.562647754,3.184397163
33,AL2014,22,B,2.687820057,3.39965194,3.13777399,3.128251155,3.616296427,2.935413755,4.580483427,2.621160215,5.216132634,2.606875963,6.066045619,2.692581474,7.373054663,3.021119266,7.837292849,3.156819659,8.001561745,3.313946429,7.780155841,3.363941311,7.451618049,3.371083437,6.473146797,3.678194851,5.116142871,3.871032251,4.537630671,3.906742881,3.787707449,3.835321622,3.044926353,3.756758237,3.152058242,3.313946429,3.616296427,3.271093674,4.666188938,3.221098792
34,AL2014,23,B,2.612027619,3.262079741,3.058790714,3.056426888,3.505553809,2.843682557,4.505452164,2.666395615,5.037312992,2.701853003,6.015936914,2.779859258,7.207305168,3.106067232,7.576062008,3.162799054,7.760440428,3.290445652,7.533513142,3.347177474,7.221488123,3.418092251,6.327961933,3.730117269,4.930940826,3.907404212,4.448720343,3.879038301,3.732481095,3.723025792,2.945327071,3.630836582,3.087156625,3.191164964,3.512645287,3.155707576,4.505452164,3.262079741
35,AL2014,24,B,2.05904811,3.389982766,2.541305072,3.134670257,2.973917936,2.957369903,4.009352003,2.694965379,4.676001333,2.73042545,5.612147202,2.829713648,6.831973637,3.27651054,7.200758373,3.439626865,7.385150741,3.609835205,7.136930245,3.666571318,6.874525722,3.631111248,5.917103811,3.858055701,4.555437093,3.957343899,3.959707904,3.957343899,3.23632246,3.900607786,2.399464789,3.758767502,2.534213058,3.311970611,2.988101964,3.311970611,4.044812073,3.326154639
36,AL2014,25,B,2.416666667,3.021428571,2.973809524,2.785714286,3.466666667,2.614285714,4.423809524,2.478571429,5.066666667,2.492857143,5.938095238,2.564285714,7.223809524,2.75,7.65952381,2.707142857,7.823809524,2.821428571,7.652380952,2.978571429,7.323809524,3.064285714,6.323809524,3.535714286,4.930952381,3.771428571,4.40952381,3.778571429,3.516666667,3.592857143,2.752380952,3.421428571,2.980952381,2.964285714,3.452380952,2.964285714,4.495238095,3.085714286
37,AL2014,26,B,2.516908213,3.028985507,3.082125604,2.710144928,3.54589372,2.565217391,4.516908213,2.34057971,5.053140097,2.355072464,5.879227053,2.391304348,7.241545894,2.68115942,7.669082126,2.688405797,7.8647343,2.768115942,7.698067633,2.898550725,7.292270531,3,6.299516908,3.420289855,5.024154589,3.572463768,4.422705314,3.557971014,3.683574879,3.492753623,2.8647343,3.376811594,3.060386473,2.927536232,3.54589372,2.927536232,4.531400966,2.949275362
38,AL2014,27,B,2.76470292,3.121980227,3.14595857,2.870207628,3.570375237,2.640015538,4.498337102,2.36666243,5.05223682,2.359468928,5.750006594,2.373855933,6.893773544,2.668789549,7.289416199,2.740724578,7.512414787,2.841433617,7.282222696,2.927755651,6.936934561,2.992497177,6.152842752,3.301817798,4.908366763,3.51042938,4.433595576,3.51042938,3.80776083,3.467268363,3.066830039,3.438494352,3.160345576,2.992497177,3.57756874,2.985303674,4.455176085,2.927755651
39,AL2014,28,B,2.38647343,3.253623188,2.893719807,2.97826087,3.306763285,2.81884058,4.299516908,2.594202899,4.88647343,2.594202899,5.690821256,2.702898551,6.857487923,3,7.183574879,3.028985507,7.38647343,3.108695652,7.20531401,3.239130435,6.922705314,3.326086957,6.074879227,3.637681159,4.748792271,3.869565217,4.22705314,3.81884058,3.502415459,3.695652174,2.770531401,3.608695652,2.871980676,3.188405797,3.306763285,3.18115942,4.292270531,3.195652174
40,AL2014,29,B,2.712560386,3.275362319,3.22705314,2.971014493,3.654589372,2.775362319,4.603864734,2.528985507,5.277777778,2.528985507,6.183574879,2.572463768,7.277777778,2.97826087,7.683574879,3.036231884,7.8647343,3.144927536,7.661835749,3.260869565,7.299516908,3.311594203,6.335748792,3.536231884,5.132850242,3.702898551,4.56763285,3.753623188,3.842995169,3.673913043,3.103864734,3.608695652,3.219806763,3.152173913,3.661835749,3.123188406,4.698067633,3.115942029
41,AL2014,3,B,2.588095238,3.164285714,2.933333333,3.007142857,3.383333333,2.89047619,4.264285714,2.714285714,4.84047619,2.661904762,5.795238095,2.754761905,6.916666667,3.1,7.261904762,3.173809524,7.45,3.257142857,7.261904762,3.373809524,6.969047619,3.426190476,6.276190476,3.75,4.704761905,3.95,4.211904762,3.897619048,3.469047619,3.719047619,2.828571429,3.552380952,2.933333333,3.173809524,3.361904762,3.164285714,4.242857143,3.238095238
42,AL2014,30,B,2.779303184,3.071861414,3.268498912,2.755323001,3.743306531,2.60424785,4.549040673,2.460366753,5.153341279,2.481948917,5.937493256,2.568277575,7.124512303,2.848845714,7.484215045,2.884815988,7.678454525,2.935174372,7.498603154,3.079055469,7.160482577,3.165384127,6.246837613,3.510698759,5.002266127,3.66177391,4.419547686,3.640191746,3.664171928,3.489116594,3.074259432,3.381205772,3.275692967,2.971144646,3.728918422,2.935174372,4.642563386,3.02150303
43,AL2014,31,B,2.183348106,3.202565917,2.762998046,2.948969068,3.233963622,2.825793456,4.241105392,2.680880971,4.806264084,2.680880971,5.654002121,2.717109093,6.900249491,2.999688438,7.240793831,3.006934062,7.458162558,3.108372802,7.277021952,3.246039663,6.921986364,3.354724026,5.94382709,3.774970233,4.625123478,3.977847711,4.161403526,3.963356463,3.393367356,3.854672099,2.567366191,3.601075251,2.734015549,3.209811541,3.212226749,3.231548414,4.299070386,3.332987154
44,AL2014,32,B,2.541966427,3.316546763,3.067146283,2.971223022,3.534772182,2.762589928,4.513189448,2.503597122,5.167865707,2.489208633,6.103117506,2.510791367,7.362110312,2.870503597,7.800959233,2.913669065,7.944844125,3.021582734,7.736211031,3.151079137,7.362110312,3.208633094,6.441247002,3.597122302,5.03117506,3.755395683,4.470023981,3.762589928,3.441247002,3.683453237,2.959232614,3.647482014,3.074340528,3.172661871,3.541966427,3.129496403,4.556354916,3.165467626
45,AL2014,33,B,2.25396422,3.273043787,2.743122412,2.985303674,3.174732582,2.805466103,4.203403486,2.560887007,4.800464221,2.589661018,5.577362526,2.675983052,6.778677498,2.913368645,7.195900663,2.913368645,7.397318742,2.970916668,7.203094165,3.12917373,6.922547555,3.222689267,5.922650662,3.589557911,4.613433147,3.762201979,4.109887949,3.747814974,3.419311678,3.711847459,2.628026367,3.618331923,2.735928909,3.186721753,3.232280604,3.172334747,4.232177497,3.12917373
46,AL2014,34,B,2.200945626,3.80141844,2.626477541,3.581560284,3.059101655,3.418439716,4.115839243,3.106382979,4.739952719,3.092198582,5.796690307,3.106382979,7.044917258,3.340425532,7.555555556,3.340425532,7.78250591,3.425531915,7.576832151,3.581560284,7.215130024,3.659574468,6.371158392,4.184397163,4.591016548,4.510638298,4.059101655,4.446808511,3.307328605,4.29787234,2.513002364,4.14893617,2.626477541,3.758865248,3.080378251,3.765957447,4.130023641,3.794326241
47,AL2014,34,B,2.185389579,3.774550422,2.60791388,3.5562462,3.037480253,3.394278551,4.086748934,3.084427397,4.706451242,3.070343254,5.755719923,3.084427397,6.995124539,3.316815763,7.5021537,3.316815763,7.727499994,3.401320623,7.523279915,3.5562462,7.164134259,3.633708989,6.326127729,4.154822293,4.558567737,4.478757591,4.03041236,4.415378946,3.283952762,4.26749544,2.495240733,4.119611935,2.60791388,3.732297992,3.058606468,3.739340064,4.100833077,3.767508351
48,AL2014,35,B,2.275719346,3.280489004,2.800885348,2.892010043,3.261304858,2.668994343,4.290054699,2.395620259,4.923131524,2.402814314,5.865552707,2.431590534,7.117318248,2.892010043,7.577737758,3.014308975,7.750395074,3.186966291,7.520185319,3.251712785,7.117318248,3.258906839,6.16770301,3.525086868,4.786444482,3.690550129,4.275666589,3.704938239,3.59223138,3.66177391,2.71455669,3.618609581,2.793691294,3.093443578,3.275692967,3.064667359,4.390771466,3.03589114
49,AL2014,35,B,2.292209627,3.304260032,2.82118108,2.912966081,3.284936874,2.688334368,4.321141226,2.412979365,4.958805442,2.42022555,5.908055583,2.449210287,7.168891648,2.912966081,7.632647442,3.036151213,7.806555864,3.210059636,7.574677967,3.275275295,7.168891648,3.282521479,6.212395323,3.550630297,4.821127941,3.717292536,4.306648857,3.731784904,3.618261351,3.688307799,2.734226868,3.644830693,2.813934895,3.11585924,3.299429242,3.086874503,4.422587806,3.057889766
50,AL2014,36,B,2.100938967,3.838028169,2.5657277,3.598591549,2.981220657,3.422535211,4.023474178,3.225352113,4.643192488,3.26056338,5.551643192,3.35915493,6.974178404,3.521126761,7.34741784,3.464788732,7.537558685,3.528169014,7.319248826,3.711267606,7.023474178,3.816901408,6.115023474,4.253521127,4.495305164,4.471830986,3.94600939,4.464788732,3.08685446,4.267605634,2.375586854,4.154929577,2.544600939,3.774647887,2.988262911,3.753521127,4.079812207,3.816901408
51,AL2014,37,B,1.93144208,3.588652482,2.470449173,3.229314421,2.957446809,3.026004728,4.120567376,2.723404255,4.787234043,2.695035461,5.874704492,2.713947991,7.340425532,3.073286052,7.822695035,3.059101655,8.030732861,3.111111111,7.846335697,3.323877069,7.321513002,3.503546099,6.503546099,3.90070922,4.839243499,4.156028369,4.044917258,4.174940898,3.137115839,4.052009456,2.319148936,3.98108747,2.456264775,3.413711584,2.98108747,3.394799054,4.14893617,3.36643026
52,AL2014,38,B,2.462377732,3.337941978,2.99757518,3.126679828,3.420099481,2.990533108,4.298011084,2.868470532,4.800345531,2.924807106,5.556194558,3.032785538,6.697010171,3.201795259,7.01155604,3.19240583,7.255681191,3.211184688,7.072587328,3.380194408,6.743957316,3.49756227,5.950550573,3.934170714,4.654809383,4.084401576,4.190032652,4.01398086,3.51399377,3.854360568,2.786313029,3.699434991,2.964712179,3.328552549,3.415404767,3.333247264,4.363737087,3.460004554
53,AL2014,39,B,2.230952381,3.561904762,2.678571429,3.223809524,3.088095238,3.033333333,3.854761905,2.795238095,4.397619048,2.795238095,5.164285714,2.833333333,6.24047619,3.223809524,6.621428571,3.376190476,6.735714286,3.557142857,6.621428571,3.595238095,6.326190476,3.533333333,5.521428571,3.752380952,4.411904762,3.923809524,3.821428571,3.919047619,3.321428571,3.89047619,2.588095238,3.828571429,2.664285714,3.385714286,3.097619048,3.352380952,3.878571429,3.233333333
54,AL2014,4,B,2.65248227,3.151300236,3.056737589,2.910165485,3.517730496,2.718676123,4.460992908,2.498817967,4.985815603,2.491725768,5.794326241,2.576832151,7.028368794,2.93144208,7.312056738,2.93144208,7.524822695,3.009456265,7.333333333,3.151300236,6.992907801,3.250591017,6.177304965,3.541371158,4.85106383,3.63356974,4.411347518,3.661938534,3.588652482,3.527186761,2.929078014,3.442080378,3.092198582,3.080378251,3.510638298,3.066193853,4.489361702,3.080378251
55,AL2014,40,B,1.908401426,3.760466279,2.345009871,3.408362695,2.795702458,3.211184688,3.697087634,2.990533108,4.302705799,2.985838394,5.28390112,3.051564396,6.466969163,3.567982986,6.809683318,3.671266704,7.049113755,3.783939851,6.837851605,3.873139426,6.513916307,3.849665854,5.687646563,4.028065003,4.190032652,4.197074723,3.701782348,4.192380009,2.983491037,4.107875149,2.222947295,4.060928004,2.345009871,3.652487847,2.800397173,3.614930131,3.683003491,3.661877275
56,AL2014,41,B,2.528103734,3.49756227,2.978796322,3.211184688,3.434183624,3.079732683,4.42007366,2.948280678,5.025691825,2.967059536,5.809709139,3.06564854,6.983387753,3.370804979,7.236902334,3.389583837,7.457553913,3.49756227,7.274460049,3.605540702,6.917661751,3.690045562,6.10547615,4.004591431,4.790956102,4.117264578,4.316789942,4.093791005,3.678308776,4.004591431,2.880207319,3.844971139,2.969406893,3.427141553,3.434183624,3.436530982,4.401294802,3.596151273
