bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,2,0,0
19,2,0,1
20,1,2,1
21,2,0,0
22,2,4,4
23,0,1,2
24,9,3,0
25,9,5,10
26,12,13,7
27,22,21,10
28,18,17,12
29,17,18,15
30,19,18,16
31,12,17,13
32,8,10,12
33,13,11,10
34,17,10,14
35,8,10,11
36,13,6,8
37,9,7,10
38,11,11,4
39,10,13,10
40,9,9,7
41,9,11,11
42,11,9,9
43,11,9,13
44,12,7,10
45,10,6,7
46,13,6,5
47,11,15,9
48,11,13,9
49,28,19,16
50,18,14,18
51,17,19,24
52,30,25,20
53,35,32,25
54,33,26,22
55,30,31,35
56,38,39,52
57,65,59,52
58,59,63,66
59,78,90,68
60,95,82,78
61,100,104,105
62,92,89,99
63,100,92,101
64,97,105,100
65,110,128,85
66,104,98,97
67,95,108,92
68,110,117,93
69,90,101,98
70,114,113,110
71,111,103,117
72,88,96,109
73,98,103,100
74,113,121,100
75,124,109,120
76,106,112,97
77,115,89,106
78,91,111,87
79,89,111,108
80,96,100,127
81,97,86,98
82,90,82,90
83,100,109,95
84,80,97,95
85,112,87,94
86,84,86,94
87,83,84,79
88,90,86,104
89,90,94,82
90,78,74,81
91,88,70,81
92,90,90,99
93,83,85,94
94,89,84,93
95,62,78,102
96,84,85,108
97,95,109,106
98,76,90,116
99,63,103,124
100,71,102,109
101,81,100,121
102,69,102,128
103,88,112,140
104,67,104,136
105,64,90,113
106,65,94,145
107,80,109,119
108,80,92,129
109,80,106,134
110,68,81,137
111,74,115,127
112,76,97,142
113,67,85,124
114,72,116,120
115,61,128,138
116,78,114,139
117,82,101,132
118,94,96,146
119,71,119,141
120,92,108,148
121,77,122,144
122,90,123,122
123,97,124,137
124,89,129,127
125,101,114,133
126,86,120,128
127,90,109,152
128,86,124,131
129,78,127,151
130,98,116,136
131,90,123,136
132,102,129,151
133,86,142,142
134,106,136,144
135,106,130,148
136,94,118,144
137,90,112,180
138,87,131,137
139,94,137,166
140,81,150,153
141,100,147,185
142,100,139,171
143,105,159,192
144,93,182,183
145,87,175,190
146,98,195,195
147,129,170,167
148,120,165,211
149,118,185,188
150,117,169,178
151,150,170,154
152,145,161,185
153,133,167,165
154,120,122,171
155,131,155,166
156,153,128,151
157,165,115,139
158,143,111,146
159,130,100,165
160,120,116,158
161,117,118,170
162,118,105,142
163,122,90,167
164,112,97,174
165,88,85,192
166,102,112,215
167,90,106,194
168,84,126,207
169,104,166,239
170,104,148,248
171,122,140,232
172,120,179,204
173,97,181,237
174,84,176,198
175,106,193,193
176,106,204,185
177,106,253,164
178,110,257,196
179,113,257,215
180,120,271,177
181,130,280,154
182,123,241,131
183,136,223,123
184,118,232,103
185,104,234,115
186,111,221,107
187,110,218,81
188,118,204,77
189,111,198,73
190,137,164,93
191,149,151,84
192,174,136,75
193,195,134,67
194,209,120,83
195,225,107,62
196,248,112,56
197,265,83,54
198,313,95,48
199,289,79,48
200,284,78,51
201,331,83,37
202,273,80,41
203,288,71,56
204,275,67,46
205,253,63,46
206,234,60,51
207,172,58,41
208,184,55,59
209,146,48,56
210,158,44,40
211,128,50,43
212,117,59,46
213,115,59,55
214,94,38,51
215,82,46,56
216,88,45,60
217,106,56,59
218,74,56,73
219,74,48,72
220,77,49,66
221,71,63,54
222,66,73,61
223,57,66,60
224,65,82,72
225,61,72,66
226,90,94,65
227,78,85,67
228,96,78,58
229,103,72,50
230,128,78,48
231,96,74,41
232,132,64,34
233,114,35,16
234,119,51,22
235,103,40,19
236,90,37,6
237,76,22,11
238,63,22,1
239,48,21,0
240,37,6,0
241,37,9,0
242,29,0,0
243,19,0,0
244,21,0,0
245,6,0,0
246,11,0,0
247,1,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
