bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,1
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,1
48,0,1,0
49,1,0,0
50,0,0,4
51,0,1,4
52,0,0,6
53,1,0,4
54,0,0,11
55,0,2,4
56,1,2,13
57,1,6,5
58,3,10,8
59,7,10,17
60,7,6,14
61,3,7,10
62,9,12,12
63,9,12,12
64,10,9,17
65,5,11,14
66,13,19,20
67,13,15,24
68,11,13,30
69,13,20,39
70,15,21,29
71,20,20,28
72,18,27,29
73,31,30,42
74,27,30,42
75,25,26,48
76,31,32,38
77,36,41,30
78,33,37,36
79,20,42,41
80,18,39,43
81,30,47,56
82,34,33,54
83,35,41,70
84,45,58,51
85,41,47,94
86,44,61,85
87,34,55,88
88,49,61,84
89,40,64,97
90,46,82,108
91,65,104,114
92,55,91,95
93,85,88,141
94,73,101,126
95,108,125,126
96,98,142,150
97,82,115,157
98,126,138,152
99,107,134,131
100,134,135,150
101,118,159,120
102,122,132,120
103,147,124,110
104,124,124,100
105,135,105,105
106,134,104,103
107,135,95,119
108,111,96,90
109,115,84,86
110,95,91,79
111,89,93,80
112,107,97,100
113,86,75,71
114,91,83,68
115,68,76,66
116,90,84,70
117,71,68,69
118,64,65,72
119,62,75,82
120,81,65,81
121,63,68,65
122,66,70,72
123,69,65,68
124,59,60,67
125,67,64,66
126,65,52,76
127,48,53,70
128,66,63,65
129,47,50,83
130,57,55,65
131,50,58,89
132,49,65,107
133,45,74,110
134,52,70,98
135,67,74,126
136,69,76,137
137,67,69,129
138,60,78,137
139,60,83,146
140,59,131,125
141,74,99,145
142,73,103,178
143,73,106,169
144,86,110,168
145,92,122,200
146,89,116,185
147,108,111,180
148,97,119,208
149,96,139,179
150,124,148,210
151,105,142,210
152,94,137,195
153,112,153,215
154,135,164,225
155,101,160,233
156,138,163,255
157,131,145,230
158,136,168,228
159,136,173,238
160,138,176,234
161,165,200,236
162,156,198,247
163,134,194,243
164,141,172,233
165,143,216,224
166,196,223,210
167,173,229,217
168,186,215,189
169,173,230,207
170,195,244,207
171,160,261,198
172,165,216,210
173,180,225,195
174,200,218,217
175,187,220,194
176,196,216,187
177,203,196,169
178,199,214,155
179,222,214,167
180,209,201,140
181,218,216,150
182,219,204,174
183,202,189,146
184,204,193,167
185,213,197,150
186,231,220,169
187,243,229,156
188,249,213,164
189,228,219,170
190,238,201,155
191,259,180,167
192,221,191,153
193,255,184,184
194,242,184,184
195,237,185,173
196,230,157,153
197,250,176,168
198,240,162,203
199,212,163,168
200,185,169,181
201,211,132,207
202,202,140,206
203,184,159,184
204,173,119,190
205,203,141,177
206,169,161,180
207,166,143,187
208,164,139,177
209,181,140,173
210,184,116,152
211,146,122,131
212,153,105,102
213,156,101,79
214,133,119,77
215,155,95,60
216,120,87,64
217,118,87,51
218,105,97,50
219,100,118,36
220,92,147,35
221,104,149,26
222,91,133,24
223,104,155,17
224,118,150,21
225,104,154,15
226,121,167,12
227,118,137,3
228,135,149,4
229,127,132,3
230,151,138,2
231,173,86,1
232,198,66,0
233,179,45,0
234,160,20,0
235,148,23,0
236,78,22,0
237,55,9,0
238,34,7,0
239,22,6,0
240,13,4,0
241,7,0,0
242,5,3,0
243,4,0,0
244,2,0,0
245,0,1,0
246,2,0,0
247,0,0,0
248,1,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
