bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,2
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,1
55,0,0,0
56,0,0,1
57,0,0,1
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,1
64,0,0,0
65,0,0,1
66,0,0,2
67,0,0,5
68,0,0,5
69,0,0,1
70,0,0,6
71,0,0,6
72,0,0,3
73,0,0,12
74,0,0,11
75,0,0,16
76,0,0,17
77,0,0,20
78,0,0,25
79,0,0,19
80,0,1,32
81,0,0,31
82,0,0,20
83,0,1,39
84,0,1,26
85,0,3,33
86,0,1,44
87,0,5,35
88,0,5,34
89,0,6,49
90,0,5,43
91,0,3,45
92,0,5,49
93,2,2,57
94,3,6,50
95,1,3,42
96,5,5,44
97,5,12,55
98,2,7,60
99,3,7,66
100,3,10,56
101,2,10,57
102,2,16,60
103,2,12,67
104,1,19,77
105,1,24,77
106,6,20,98
107,1,33,96
108,3,23,93
109,9,36,98
110,4,32,117
111,7,33,113
112,7,33,124
113,7,37,126
114,6,50,167
115,7,47,123
116,7,62,128
117,14,58,128
118,17,57,161
119,14,57,164
120,14,64,136
121,18,61,147
122,21,68,158
123,24,88,133
124,31,82,166
125,27,79,157
126,33,85,175
127,36,85,148
128,37,88,159
129,39,99,144
130,44,99,120
131,47,114,150
132,52,122,107
133,65,122,95
134,71,114,84
135,85,129,96
136,89,114,72
137,94,116,66
138,68,98,80
139,78,137,51
140,84,123,56
141,85,129,50
142,69,109,64
143,70,100,41
144,72,115,34
145,63,135,39
146,62,127,35
147,62,106,31
148,59,138,29
149,63,103,33
150,57,126,21
151,73,93,27
152,76,87,26
153,62,105,20
154,59,111,30
155,75,82,25
156,89,103,27
157,67,88,17
158,84,97,23
159,91,90,22
160,81,93,25
161,92,86,27
162,101,82,19
163,95,92,17
164,100,95,29
165,104,91,25
166,99,92,15
167,106,73,29
168,92,73,21
169,101,69,28
170,75,76,29
171,90,56,31
172,100,46,34
173,88,47,39
174,91,30,40
175,101,24,45
176,86,25,36
177,72,24,51
178,104,26,64
179,86,27,48
180,82,26,80
181,73,13,73
182,73,13,74
183,92,16,60
184,79,22,65
185,74,13,81
186,67,13,56
187,75,9,87
188,50,19,86
189,61,16,85
190,64,12,64
191,56,12,97
192,61,8,53
193,52,11,74
194,52,22,62
195,46,21,68
196,33,23,65
197,34,20,58
198,38,19,58
199,32,31,72
200,45,24,55
201,44,39,48
202,42,43,55
203,46,49,58
204,44,67,38
205,41,45,52
206,38,49,42
207,32,48,55
208,39,69,58
209,35,67,59
210,46,67,45
211,38,70,31
212,27,87,39
213,34,91,41
214,27,81,43
215,28,58,40
216,25,77,42
217,32,75,41
218,34,72,32
219,26,82,46
220,42,97,43
221,61,89,41
222,56,100,59
223,69,97,63
224,90,111,58
225,115,112,75
226,133,112,59
227,115,119,70
228,126,132,67
229,119,107,74
230,96,75,66
231,106,100,81
232,95,73,91
233,103,90,72
234,105,85,70
235,118,91,62
236,141,95,70
237,158,65,66
238,156,91,66
239,182,95,64
240,154,103,67
241,142,99,91
242,103,93,74
243,113,87,58
244,71,98,65
245,108,93,67
246,130,104,63
247,148,105,64
248,193,117,58
249,165,143,57
250,137,104,24
251,156,138,31
252,181,119,39
253,214,110,25
254,362,102,9
255,528,153,76
