bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,1,0,0
24,0,0,0
25,2,0,0
26,0,1,0
27,1,0,0
28,0,2,0
29,0,0,0
30,0,1,0
31,5,1,1
32,5,1,0
33,7,2,3
34,2,1,2
35,2,3,0
36,8,2,2
37,9,5,1
38,10,4,0
39,25,12,3
40,27,16,7
41,38,17,6
42,46,29,13
43,48,31,13
44,64,34,23
45,73,55,21
46,96,77,35
47,131,80,45
48,120,93,54
49,130,109,62
50,178,116,88
51,159,132,81
52,192,123,106
53,192,151,120
54,215,197,113
55,208,182,152
56,209,209,158
57,234,227,174
58,255,228,158
59,244,210,180
60,259,227,222
61,243,241,228
62,237,244,231
63,234,229,210
64,254,248,221
65,206,229,250
66,240,252,251
67,209,238,242
68,203,227,232
69,188,208,255
70,194,193,217
71,180,200,237
72,170,186,187
73,176,176,204
74,165,171,205
75,155,140,187
76,134,166,174
77,141,151,181
78,127,139,178
79,136,140,152
80,143,133,158
81,130,138,144
82,126,129,113
83,130,121,108
84,119,126,152
85,129,131,127
86,107,123,130
87,119,117,127
88,115,124,114
89,84,126,109
90,103,108,125
91,88,123,127
92,86,105,119
93,98,97,101
94,86,96,110
95,89,107,120
96,80,105,119
97,85,101,104
98,92,97,88
99,72,113,110
100,77,92,113
101,67,74,114
102,81,101,112
103,60,100,88
104,77,71,104
105,70,79,105
106,75,87,111
107,87,79,111
108,89,91,120
109,74,89,108
110,66,85,115
111,73,99,109
112,76,103,119
113,68,101,117
114,87,81,124
115,104,107,119
116,81,89,152
117,114,117,137
118,103,97,128
119,86,129,147
120,104,110,136
121,110,115,163
122,128,114,149
123,121,144,172
124,122,119,173
125,125,136,174
126,133,161,202
127,125,134,220
128,125,163,208
129,144,175,243
130,160,141,244
131,147,149,244
132,144,191,280
133,144,183,283
134,144,224,305
135,152,209,295
136,163,197,351
137,187,237,351
138,185,236,379
139,195,269,381
140,213,304,449
141,218,298,387
142,283,343,410
143,259,370,388
144,276,365,445
145,312,371,441
146,327,395,440
147,357,407,426
148,318,411,437
149,365,401,453
150,408,424,457
151,392,450,458
152,433,430,437
153,445,512,473
154,476,525,467
155,494,484,488
156,526,483,448
157,495,492,432
158,514,540,432
159,520,502,430
160,533,519,459
161,560,485,389
162,566,407,415
163,608,492,420
164,628,456,425
165,608,511,365
166,595,466,372
167,644,460,408
168,660,452,368
169,678,481,393
170,680,461,390
171,656,445,332
172,655,414,351
173,610,433,361
174,593,459,345
175,531,432,333
176,520,504,377
177,541,447,410
178,498,479,425
179,524,503,427
180,462,499,483
181,476,494,442
182,453,470,471
183,449,467,407
184,433,439,416
185,427,416,406
186,382,361,383
187,311,370,373
188,334,378,346
189,314,367,349
190,269,341,357
191,256,358,341
192,235,336,336
193,211,295,308
194,195,234,223
195,198,215,217
196,206,211,199
197,172,201,197
198,191,178,170
199,188,197,161
200,197,166,159
201,152,150,171
202,130,178,176
203,138,159,156
204,107,161,135
205,88,148,141
206,109,136,140
207,82,126,100
208,70,98,100
209,58,93,102
210,53,91,68
211,58,78,71
212,38,65,44
213,37,39,37
214,39,37,44
215,36,50,28
216,29,33,26
217,20,24,39
218,27,34,29
219,29,30,18
220,18,15,18
221,19,26,29
222,22,27,26
223,27,21,20
224,21,22,24
225,31,32,19
226,19,24,22
227,24,24,12
228,13,22,20
229,13,13,10
230,15,16,13
231,17,16,18
232,11,15,14
233,13,14,8
234,5,6,4
235,4,5,3
236,1,1,1
237,3,2,2
238,2,1,3
239,1,1,1
240,1,1,1
241,1,2,2
242,0,2,0
243,0,0,0
244,0,0,1
245,0,0,1
246,0,0,0
247,0,2,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
