bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,1
62,0,0,0
63,0,0,1
64,0,0,0
65,0,0,1
66,0,0,0
67,0,0,1
68,0,0,0
69,0,0,2
70,0,0,0
71,0,0,1
72,0,1,2
73,0,0,1
74,0,1,1
75,0,0,1
76,0,1,1
77,0,1,2
78,0,1,3
79,0,0,1
80,0,0,2
81,0,1,3
82,0,2,5
83,0,2,1
84,0,2,3
85,0,1,3
86,0,2,6
87,2,1,7
88,0,1,10
89,0,4,8
90,2,6,7
91,0,3,19
92,1,3,16
93,2,8,15
94,2,10,11
95,0,8,16
96,0,12,23
97,4,9,22
98,3,8,22
99,1,11,22
100,4,14,22
101,10,12,32
102,8,17,24
103,8,17,21
104,13,21,31
105,8,26,22
106,7,25,28
107,14,21,29
108,13,22,31
109,26,24,25
110,12,37,37
111,11,20,29
112,23,30,36
113,12,31,40
114,20,25,42
115,32,26,31
116,32,34,36
117,31,45,29
118,23,42,28
119,32,38,34
120,25,46,30
121,34,46,46
122,24,36,29
123,31,43,29
124,37,34,29
125,40,45,25
126,41,20,33
127,41,35,33
128,38,27,34
129,41,33,32
130,51,37,39
131,46,44,30
132,43,34,28
133,44,35,37
134,36,33,29
135,33,28,25
136,40,35,25
137,41,40,27
138,44,22,24
139,33,26,28
140,34,28,24
141,40,25,32
142,39,36,23
143,30,25,16
144,39,33,20
145,33,26,27
146,37,30,16
147,29,24,30
148,37,32,23
149,41,31,30
150,31,26,34
151,37,40,24
152,41,26,26
153,26,32,32
154,39,29,28
155,42,28,41
156,35,35,21
157,34,32,27
158,32,32,26
159,41,45,36
160,33,34,37
161,46,37,32
162,48,50,40
163,41,32,51
164,42,51,49
165,41,71,45
166,38,57,53
167,64,59,60
168,65,58,42
169,58,67,51
170,81,77,51
171,57,62,64
172,66,57,59
173,66,66,70
174,58,59,59
175,52,67,81
176,64,63,58
177,62,58,71
178,54,65,68
179,61,63,67
180,71,67,60
181,50,67,66
182,64,66,61
183,50,56,60
184,66,50,53
185,53,55,55
186,50,53,48
187,53,54,53
188,68,41,61
189,63,45,51
190,45,54,51
191,52,51,74
192,48,58,56
193,48,58,62
194,66,54,58
195,59,65,67
196,65,66,71
197,69,54,64
198,59,69,62
199,84,72,51
200,63,69,71
201,70,75,60
202,79,66,62
203,63,67,60
204,69,66,58
205,58,45,44
206,44,57,40
207,47,51,49
208,54,43,45
209,41,37,45
210,46,53,41
211,53,36,37
212,52,25,46
213,48,43,41
214,43,25,25
215,48,40,24
216,32,49,28
217,49,41,29
218,43,42,35
219,47,29,29
220,52,29,31
221,46,29,22
222,46,40,37
223,37,37,32
224,44,35,42
225,54,46,40
226,43,41,24
227,58,46,29
228,47,58,31
229,58,59,38
230,54,44,41
231,61,66,45
232,66,58,48
233,62,46,52
234,79,53,51
235,50,60,49
236,64,57,54
237,56,53,62
238,43,56,64
239,43,50,67
240,25,49,52
241,21,28,54
242,13,26,51
243,6,11,44
244,6,9,38
245,1,5,18
246,0,2,17
247,0,0,6
248,0,0,3
249,0,0,1
250,0,0,1
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
