bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,2,2,0
19,12,11,7
20,4,5,8
21,3,3,3
22,1,0,2
23,0,1,1
24,5,3,3
25,6,7,3
26,2,2,2
27,2,3,4
28,1,0,0
29,2,4,3
30,6,2,1
31,3,2,1
32,4,4,1
33,2,2,5
34,7,5,4
35,4,4,3
36,5,11,6
37,13,9,4
38,9,8,15
39,20,11,11
40,19,22,15
41,25,25,24
42,21,38,24
43,48,27,33
44,40,42,45
45,41,58,28
46,38,44,53
47,51,71,54
48,69,62,79
49,57,63,71
50,66,71,88
51,73,100,76
52,65,91,97
53,75,84,86
54,92,78,89
55,79,65,108
56,76,79,70
57,65,87,64
58,78,73,74
59,67,66,89
60,78,74,85
61,71,80,82
62,76,84,106
63,66,86,81
64,70,63,96
65,72,98,95
66,71,82,104
67,73,81,101
68,62,108,92
69,78,101,97
70,63,107,119
71,81,102,82
72,82,93,113
73,97,105,97
74,81,94,115
75,92,107,116
76,89,122,100
77,97,87,116
78,95,109,97
79,89,99,111
80,90,95,87
81,90,97,103
82,101,104,89
83,105,110,89
84,89,95,96
85,96,78,106
86,99,81,85
87,97,98,86
88,88,85,104
89,89,98,99
90,102,89,110
91,76,105,92
92,79,86,117
93,88,76,100
94,90,105,100
95,87,79,82
96,80,75,91
97,73,85,89
98,75,71,102
99,63,101,100
100,68,101,76
101,93,98,89
102,66,86,77
103,73,62,86
104,73,87,74
105,80,87,97
106,76,89,64
107,87,74,96
108,78,95,83
109,71,93,76
110,89,92,76
111,80,69,77
112,85,86,65
113,90,73,79
114,83,73,92
115,73,75,94
116,74,74,84
117,60,76,100
118,76,79,71
119,75,71,90
120,69,69,59
121,76,61,60
122,73,65,69
123,66,63,50
124,76,68,65
125,73,67,69
126,55,53,67
127,50,49,53
128,57,52,64
129,73,58,59
130,59,49,70
131,62,60,51
132,61,59,52
133,41,44,64
134,64,53,47
135,51,40,61
136,53,49,57
137,48,40,61
138,60,50,65
139,49,61,68
140,62,53,51
141,49,54,41
142,57,63,63
143,47,36,38
144,44,40,56
145,46,47,40
146,40,55,43
147,45,48,41
148,44,54,46
149,34,50,57
150,46,51,44
151,38,46,51
152,38,41,39
153,38,42,50
154,43,36,46
155,42,36,27
156,42,38,65
157,42,51,62
158,39,47,68
159,41,35,63
160,47,35,52
161,43,40,56
162,37,30,44
163,39,36,34
164,43,37,61
165,43,45,59
166,47,32,72
167,45,36,67
168,45,37,71
169,31,34,73
170,36,44,79
171,35,53,81
172,36,48,52
173,37,36,75
174,36,47,73
175,27,45,63
176,29,57,73
177,23,45,63
178,35,52,72
179,29,55,71
180,28,61,84
181,22,49,65
182,34,42,88
183,33,62,79
184,33,64,74
185,43,80,85
186,28,79,69
187,29,79,84
188,41,73,88
189,40,78,76
190,44,97,94
191,32,97,91
192,64,88,92
193,56,83,60
194,60,92,64
195,65,101,51
196,62,100,54
197,67,109,46
198,51,81,46
199,74,99,59
200,55,102,50
201,76,108,61
202,70,116,62
203,90,90,42
204,99,86,53
205,117,91,47
206,125,76,59
207,170,54,54
208,136,54,46
209,139,69,52
210,164,72,59
211,152,66,46
212,123,55,63
213,148,54,50
214,129,60,63
215,87,73,63
216,125,70,71
217,86,59,61
218,92,62,64
219,70,66,75
220,77,77,86
221,86,71,90
222,77,76,69
223,93,83,74
224,87,99,62
225,101,107,54
226,116,105,80
227,106,109,73
228,106,90,76
229,126,112,82
230,149,85,97
231,155,100,76
232,153,83,84
233,132,103,78
234,127,99,98
235,133,88,84
236,108,91,80
237,111,95,103
238,127,102,81
239,118,101,80
240,94,71,85
241,101,73,73
242,85,91,65
243,88,84,66
244,99,67,47
245,50,48,36
246,50,55,29
247,43,29,22
248,29,32,30
249,42,29,28
250,30,30,24
251,28,30,26
252,30,30,28
253,49,33,37
254,75,71,87
255,120,141,139
