bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,1,0
26,1,0,0
27,0,0,0
28,0,0,0
29,1,1,1
30,2,0,0
31,1,0,0
32,1,0,0
33,3,0,1
34,3,3,0
35,1,2,0
36,5,3,0
37,2,2,4
38,5,2,1
39,3,7,2
40,2,3,1
41,5,5,4
42,4,5,3
43,4,2,7
44,6,5,6
45,6,4,6
46,11,8,5
47,20,10,3
48,20,13,4
49,22,13,11
50,25,13,9
51,36,11,12
52,47,22,13
53,46,33,18
54,55,29,11
55,61,37,22
56,68,37,21
57,85,47,20
58,99,65,24
59,112,57,40
60,104,76,36
61,123,88,52
62,171,97,52
63,147,123,55
64,180,113,66
65,205,139,92
66,183,161,77
67,249,158,108
68,233,167,123
69,243,207,112
70,262,203,153
71,225,224,174
72,254,249,165
73,247,250,173
74,261,239,176
75,288,248,192
76,291,245,208
77,290,274,205
78,296,271,249
79,299,261,259
80,276,286,221
81,268,286,275
82,262,312,266
83,221,276,274
84,269,282,281
85,241,261,276
86,258,258,294
87,232,255,333
88,280,245,292
89,256,277,276
90,259,253,323
91,237,277,281
92,232,255,301
93,238,259,262
94,234,234,280
95,234,257,248
96,263,247,259
97,218,248,278
98,230,259,281
99,244,263,259
100,250,262,286
101,270,273,273
102,251,243,260
103,239,266,256
104,225,253,305
105,211,305,279
106,242,274,298
107,258,302,311
108,241,290,299
109,234,261,315
110,252,306,297
111,290,279,314
112,261,282,314
113,250,276,318
114,278,283,335
115,260,300,312
116,271,311,319
117,300,290,325
118,289,269,325
119,302,313,311
120,314,290,327
121,304,286,309
122,288,263,312
123,292,267,284
124,283,297,273
125,268,253,300
126,269,276,258
127,273,299,279
128,246,278,269
129,226,279,263
130,245,237,260
131,222,256,268
132,223,247,242
133,196,224,276
134,205,251,247
135,236,230,247
136,224,202,249
137,224,218,252
138,210,217,232
139,211,236,224
140,230,218,230
141,233,246,217
142,224,217,242
143,213,207,245
144,247,235,229
145,238,205,217
146,239,231,264
147,287,204,240
148,276,238,246
149,310,248,276
150,335,261,273
151,334,272,254
152,335,267,288
153,355,282,289
154,385,315,281
155,412,293,301
156,426,339,336
157,443,371,391
158,458,361,379
159,499,371,384
160,505,400,377
161,482,447,436
162,566,507,462
163,549,532,501
164,568,548,543
165,628,571,598
166,655,616,587
167,661,623,650
168,637,651,650
169,698,685,652
170,655,697,700
171,641,706,702
172,643,707,712
173,654,766,718
174,680,778,741
175,696,780,796
176,647,748,745
177,640,783,786
178,588,722,741
179,526,653,701
180,559,626,667
181,540,628,774
182,510,576,700
183,495,573,704
184,507,541,607
185,454,541,572
186,399,502,516
187,377,419,460
188,383,401,384
189,383,378,382
190,320,331,329
191,296,336,329
192,270,276,218
193,254,295,224
194,213,213,202
195,195,219,188
196,173,192,142
197,147,143,135
198,128,136,109
199,107,97,101
200,94,101,93
201,106,103,77
202,77,74,72
203,83,70,54
204,62,48,44
205,64,52,34
206,46,38,33
207,33,34,24
208,38,28,20
209,19,17,11
210,20,6,14
211,19,11,10
212,11,9,8
213,7,6,8
214,6,3,4
215,0,0,2
216,6,6,4
217,3,3,0
218,4,4,5
219,5,4,6
220,4,3,7
221,2,2,2
222,0,2,2
223,1,1,3
224,3,1,2
225,2,3,0
226,0,1,1
227,2,2,1
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,1
232,0,0,0
233,0,1,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
