bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,1
43,0,0,0
44,0,0,2
45,0,0,2
46,0,0,1
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,2
52,0,0,4
53,0,0,0
54,0,1,2
55,0,0,0
56,0,2,1
57,0,1,4
58,0,1,7
59,0,1,5
60,0,1,4
61,0,0,5
62,0,1,8
63,1,4,12
64,0,5,5
65,2,5,15
66,1,5,9
67,0,3,13
68,3,9,19
69,5,10,14
70,7,10,35
71,1,12,21
72,5,14,23
73,6,16,30
74,7,24,40
75,9,26,47
76,11,26,39
77,14,34,52
78,19,42,81
79,32,45,78
80,25,62,91
81,36,65,115
82,33,73,95
83,37,91,111
84,56,94,140
85,64,109,117
86,71,119,119
87,100,115,113
88,101,112,145
89,102,135,140
90,124,137,133
91,134,149,139
92,124,156,160
93,159,167,161
94,159,191,158
95,184,158,155
96,166,176,165
97,215,174,164
98,182,185,130
99,149,152,148
100,172,144,140
101,164,154,133
102,169,146,129
103,162,128,118
104,142,113,115
105,149,110,119
106,160,139,107
107,140,124,129
108,114,118,100
109,131,114,112
110,105,116,119
111,120,109,93
112,112,111,109
113,109,90,103
114,95,90,110
115,125,102,111
116,112,125,125
117,134,108,100
118,128,103,120
119,117,103,112
120,127,120,124
121,124,130,121
122,103,120,117
123,132,113,135
124,139,142,127
125,119,114,115
126,143,133,140
127,146,145,163
128,154,149,125
129,134,123,177
130,132,143,166
131,126,162,148
132,163,170,195
133,138,145,164
134,153,154,154
135,150,177,154
136,144,168,157
137,139,139,157
138,140,164,181
139,160,170,179
140,177,180,161
141,172,132,138
142,139,162,149
143,171,175,177
144,160,172,170
145,144,147,165
146,152,161,156
147,162,176,147
148,140,145,166
149,138,155,158
150,144,128,148
151,139,148,172
152,150,120,142
153,128,164,167
154,135,136,142
155,150,131,165
156,108,141,137
157,146,158,161
158,157,165,170
159,147,160,176
160,137,158,150
161,148,144,170
162,153,147,158
163,136,157,137
164,134,145,130
165,128,119,129
166,99,145,162
167,122,134,135
168,116,153,140
169,140,114,144
170,124,124,145
171,131,131,122
172,128,133,134
173,112,124,135
174,130,138,109
175,143,121,135
176,160,109,124
177,122,112,119
178,122,132,105
179,110,106,85
180,124,109,102
181,98,103,107
182,101,98,109
183,108,91,88
184,120,86,111
185,99,108,101
186,104,104,124
187,96,79,124
188,106,101,111
189,93,90,117
190,94,126,111
191,97,88,134
192,84,119,146
193,92,95,142
194,90,93,166
195,73,80,167
196,92,88,174
197,83,78,181
198,96,105,182
199,72,112,196
200,87,103,220
201,94,98,237
202,90,101,287
203,101,95,285
204,95,101,291
205,100,112,263
206,82,95,285
207,91,120,280
208,77,117,310
209,106,107,308
210,93,112,282
211,103,115,221
212,103,145,216
213,112,135,220
214,119,152,191
215,111,186,202
216,134,225,192
217,132,204,184
218,126,212,198
219,107,199,178
220,114,237,189
221,126,253,222
222,137,280,216
223,140,217,230
224,142,268,209
225,184,319,235
226,179,314,250
227,205,403,268
228,253,376,248
229,247,394,223
230,270,359,188
231,285,329,153
232,309,272,144
233,324,323,119
234,365,318,102
235,424,325,81
236,451,330,104
237,538,338,83
238,494,325,78
239,503,273,83
240,504,216,76
241,445,160,80
242,433,155,78
243,381,132,58
244,326,99,63
245,270,78,52
246,205,94,51
247,135,69,49
248,91,53,48
249,81,53,51
250,83,67,52
251,68,54,48
252,62,51,43
253,65,60,29
254,49,55,28
255,11,24,16
